lr,batch_size,n_hid,reg_A,drop_prob,weight_decay,attn_head,ce_kernel,ststamp_kt,exp_name
1e-3,64,64,1e-3,0.2,1e-5,4,(1 3 5)_,2,lr1e-3_bs64_nh64_ra1e-3_dp0.2_wd1e-5_ah4_ck(1 3 5)__kt2
1e-4,64,256,1e-3,0.1,1e-4,2,(1 3 5)_,2,lr1e-4_bs64_nh256_ra1e-3_dp0.1_wd1e-4_ah2_ck(1 3 5)__kt2
1e-4,64,64,1e-3,0.3,1e-5,2,(1 3 5)_,4,lr1e-4_bs64_nh64_ra1e-3_dp0.3_wd1e-5_ah2_ck(1 3 5)__kt4
1e-3,64,64,1e-3,0.1,1e-6,2,(1 3 5)_,2,lr1e-3_bs64_nh64_ra1e-3_dp0.1_wd1e-6_ah2_ck(1 3 5)__kt2
1e-4,64,256,1e-5,0.1,1e-6,4,(1 3 5)_,6,lr1e-4_bs64_nh256_ra1e-5_dp0.1_wd1e-6_ah4_ck(1 3 5)__kt6
1e-3,64,128,1e-5,0.1,1e-5,1,(1 3 5)_,4,lr1e-3_bs64_nh128_ra1e-5_dp0.1_wd1e-5_ah1_ck(1 3 5)__kt4
1e-3,64,128,1e-5,0.3,1e-5,4,(1 3 5)_,2,lr1e-3_bs64_nh128_ra1e-5_dp0.3_wd1e-5_ah4_ck(1 3 5)__kt2
1e-3,64,128,1e-3,0.3,1e-5,1,(1 3 5)_,2,lr1e-3_bs64_nh128_ra1e-3_dp0.3_wd1e-5_ah1_ck(1 3 5)__kt2
1e-4,64,256,1e-4,0.2,1e-5,2,(1 3 5)_,6,lr1e-4_bs64_nh256_ra1e-4_dp0.2_wd1e-5_ah2_ck(1 3 5)__kt6
1e-4,64,256,1e-3,0.2,1e-4,1,(1 3 5)_,2,lr1e-4_bs64_nh256_ra1e-3_dp0.2_wd1e-4_ah1_ck(1 3 5)__kt2
1e-4,64,64,1e-4,0.1,1e-6,4,(1 3 5)_,4,lr1e-4_bs64_nh64_ra1e-4_dp0.1_wd1e-6_ah4_ck(1 3 5)__kt4
1e-4,64,256,1e-5,0.1,1e-5,2,(1 3 5)_,2,lr1e-4_bs64_nh256_ra1e-5_dp0.1_wd1e-5_ah2_ck(1 3 5)__kt2
1e-4,64,256,1e-3,0.1,1e-5,2,(1 3 5)_,2,lr1e-4_bs64_nh256_ra1e-3_dp0.1_wd1e-5_ah2_ck(1 3 5)__kt2
1e-4,64,256,1e-5,0.2,1e-5,4,(1 3 5)_,4,lr1e-4_bs64_nh256_ra1e-5_dp0.2_wd1e-5_ah4_ck(1 3 5)__kt4
1e-3,64,64,1e-4,0.1,1e-5,4,(1 3 5)_,4,lr1e-3_bs64_nh64_ra1e-4_dp0.1_wd1e-5_ah4_ck(1 3 5)__kt4
1e-3,64,256,1e-5,0.1,1e-5,2,(1 3 5)_,2,lr1e-3_bs64_nh256_ra1e-5_dp0.1_wd1e-5_ah2_ck(1 3 5)__kt2
1e-3,64,128,1e-4,0.3,1e-6,1,(1 3 5)_,6,lr1e-3_bs64_nh128_ra1e-4_dp0.3_wd1e-6_ah1_ck(1 3 5)__kt6
1e-4,64,256,1e-5,0.3,1e-6,1,(1 3 5)_,4,lr1e-4_bs64_nh256_ra1e-5_dp0.3_wd1e-6_ah1_ck(1 3 5)__kt4
1e-3,64,64,1e-4,0.1,1e-6,4,(1 3 5)_,2,lr1e-3_bs64_nh64_ra1e-4_dp0.1_wd1e-6_ah4_ck(1 3 5)__kt2
1e-4,64,256,1e-3,0.3,1e-5,4,(1 3 5)_,4,lr1e-4_bs64_nh256_ra1e-3_dp0.3_wd1e-5_ah4_ck(1 3 5)__kt4
