lr,batch_size,n_hid,reg_A,drop_prob,weight_decay,attn_head,ce_kernel,ststamp_kt,exp_name
1e-3,64,128,1e-5,0.2,1e-6,2,5,4,lr1e-3_bs64_nh128_ra1e-5_dp0.2_wd1e-6_ah2_ck5_kt4
1e-3,64,128,1e-5,0.3,1e-5,4,3,2,lr1e-3_bs64_nh128_ra1e-5_dp0.3_wd1e-5_ah4_ck3_kt2
1e-4,64,256,1e-5,0.3,1e-4,1,5,2,lr1e-4_bs64_nh256_ra1e-5_dp0.3_wd1e-4_ah1_ck5_kt2
1e-4,64,256,1e-4,0.3,1e-6,1,3,2,lr1e-4_bs64_nh256_ra1e-4_dp0.3_wd1e-6_ah1_ck3_kt2
1e-4,64,256,1e-5,0.1,1e-6,1,1,4,lr1e-4_bs64_nh256_ra1e-5_dp0.1_wd1e-6_ah1_ck1_kt4
1e-3,64,128,1e-5,0.1,1e-5,2,3,4,lr1e-3_bs64_nh128_ra1e-5_dp0.1_wd1e-5_ah2_ck3_kt4
1e-3,64,128,1e-5,0.1,1e-4,4,3,2,lr1e-3_bs64_nh128_ra1e-5_dp0.1_wd1e-4_ah4_ck3_kt2
1e-4,64,128,1e-3,0.3,1e-5,1,1,2,lr1e-4_bs64_nh128_ra1e-3_dp0.3_wd1e-5_ah1_ck1_kt2
1e-4,64,64,1e-5,0.2,1e-6,2,3,4,lr1e-4_bs64_nh64_ra1e-5_dp0.2_wd1e-6_ah2_ck3_kt4
1e-3,64,64,1e-3,0.3,1e-6,2,3,6,lr1e-3_bs64_nh64_ra1e-3_dp0.3_wd1e-6_ah2_ck3_kt6
1e-3,64,256,1e-4,0.2,1e-5,4,5,6,lr1e-3_bs64_nh256_ra1e-4_dp0.2_wd1e-5_ah4_ck5_kt6
1e-4,64,128,1e-4,0.1,1e-5,1,3,6,lr1e-4_bs64_nh128_ra1e-4_dp0.1_wd1e-5_ah1_ck3_kt6
1e-3,64,256,1e-5,0.3,1e-6,2,1,4,lr1e-3_bs64_nh256_ra1e-5_dp0.3_wd1e-6_ah2_ck1_kt4
1e-4,64,64,1e-5,0.1,1e-6,2,5,6,lr1e-4_bs64_nh64_ra1e-5_dp0.1_wd1e-6_ah2_ck5_kt6
1e-4,64,64,1e-4,0.1,1e-4,4,3,4,lr1e-4_bs64_nh64_ra1e-4_dp0.1_wd1e-4_ah4_ck3_kt4
1e-4,64,64,1e-3,0.2,1e-5,4,1,6,lr1e-4_bs64_nh64_ra1e-3_dp0.2_wd1e-5_ah4_ck1_kt6
1e-4,64,64,1e-3,0.3,1e-5,2,1,6,lr1e-4_bs64_nh64_ra1e-3_dp0.3_wd1e-5_ah2_ck1_kt6
1e-3,64,128,1e-4,0.3,1e-6,1,1,2,lr1e-3_bs64_nh128_ra1e-4_dp0.3_wd1e-6_ah1_ck1_kt2
1e-3,64,128,1e-3,0.1,1e-5,4,1,6,lr1e-3_bs64_nh128_ra1e-3_dp0.1_wd1e-5_ah4_ck1_kt6
1e-4,64,128,1e-5,0.2,1e-5,2,5,4,lr1e-4_bs64_nh128_ra1e-5_dp0.2_wd1e-5_ah2_ck5_kt4
